Node,GPU,Time
nid002145,1,0.263035
nid002145,3,0.269107
nid002144,1,0.268178
nid002145,0,0.269223
nid002161,1,0.270211
nid002156,2,0.268216
nid002136,1,0.269129
nid002140,3,0.268758
nid002161,3,0.270374
nid002156,1,0.268843
nid002133,1,0.270796
nid002136,2,0.269208
nid002137,2,0.272386
nid002136,3,0.272757
nid002136,0,0.27301
nid002148,2,0.269079
nid002141,3,0.271944
nid002152,2,0.272199
nid002145,2,0.267791
nid002132,1,0.271449
nid002133,2,0.272816
nid002144,2,0.273279
nid002132,0,0.271755
nid002152,3,0.273633
nid002148,1,0.271902
nid002152,1,0.269977
nid002133,3,0.267146
nid002141,0,0.272981
nid002140,1,0.268252
nid002144,0,0.273729
nid002160,2,0.268134
nid002148,3,0.272096
nid002140,0,0.276281
nid002148,0,0.270457
nid002157,3,0.27039
nid002149,3,0.274338
nid002153,3,0.272165
nid002153,1,0.269252
nid002133,0,0.273472
nid002132,2,0.269629
nid002141,2,0.26941
nid002152,0,0.276089
nid002144,3,0.273321
nid002160,1,0.27122
nid002157,0,0.273556
nid002161,0,0.271394
nid002157,2,0.275317
nid002132,3,0.269979
nid002160,3,0.2705
nid002156,3,0.271173
nid002157,1,0.273506
nid002153,0,0.271911
nid002137,1,0.272086
nid002161,2,0.273182
nid002160,0,0.272624
nid002156,0,0.273038
nid002137,0,0.273676
nid002153,2,0.273142
nid002141,1,0.273481
nid002149,1,0.280358
nid002140,2,0.276453
nid002137,3,0.275913
nid002149,0,0.281292
nid002149,2,0.281009
nid002837,1,0.267139
nid001920,1,0.268391
nid002845,0,0.268752
nid002845,2,0.267274
nid001920,2,0.269601
nid002836,1,0.270118
nid002833,3,0.26657
nid002833,0,0.270135
nid002840,3,0.271113
nid003572,0,0.272763
nid002832,1,0.272062
nid001909,1,0.270704
nid002836,2,0.270314
nid002844,2,0.270197
nid001913,0,0.273762
nid002833,1,0.269463
nid001912,0,0.269654
nid001909,0,0.272598
nid002837,2,0.270292
nid001916,2,0.273678
nid001917,1,0.266873
nid001913,2,0.27092
nid002841,0,0.272162
nid001909,2,0.274724
nid002841,2,0.275054
nid002832,3,0.270745
nid001912,1,0.269217
nid002845,1,0.270452
nid002841,1,0.271876
nid001921,1,0.268658
nid002833,2,0.272632
nid003572,1,0.274545
nid002832,2,0.269868
nid002845,3,0.270191
nid003572,3,0.269486
nid001913,1,0.270999
nid001917,2,0.270549
nid002840,2,0.271594
nid002844,0,0.271567
nid001920,0,0.271227
nid002832,0,0.274342
nid002837,0,0.270375
nid002836,3,0.277122
nid001916,0,0.274762
nid002840,1,0.272408
nid001913,3,0.272849
nid001921,0,0.273756
nid002836,0,0.272798
nid001916,1,0.274605
nid002841,3,0.272005
nid001917,0,0.272556
nid002840,0,0.271442
nid002844,3,0.277047
nid001909,3,0.27224
nid002844,1,0.272977
nid001917,3,0.273087
nid001921,3,0.272985
nid003572,2,0.273243
nid002837,3,0.27319
nid001912,3,0.273797
nid001912,2,0.274476
nid001916,3,0.27496
nid001920,3,0.276188
nid001921,2,0.277726
nid003392,2,0.267333
nid003405,3,0.265543
nid003401,3,0.264167
nid003392,0,0.270057
nid001452,1,0.267474
nid003404,0,0.271779
nid003405,2,0.270038
nid003408,0,0.271498
nid003404,3,0.272381
nid003408,1,0.271739
nid003397,3,0.271327
nid003385,3,0.266051
nid003400,3,0.272237
nid003385,2,0.26639
nid003400,1,0.269471
nid003401,0,0.269189
nid003405,1,0.271898
nid003393,3,0.268847
nid003392,1,0.272732
nid003408,2,0.273969
nid003401,2,0.269218
nid001452,3,0.268954
nid003393,0,0.271176
nid003401,1,0.273564
nid003392,3,0.267307
nid003393,1,0.272731
nid003396,2,0.270836
nid003404,1,0.273968
nid003381,1,0.268124
nid003388,2,0.273891
nid001449,3,0.268158
nid001449,2,0.272281
nid003397,0,0.275088
nid003385,0,0.273763
nid003384,2,0.268513
nid003381,2,0.268378
nid003404,2,0.269858
nid003397,1,0.269373
nid001452,0,0.274896
nid001452,2,0.271651
nid003384,1,0.270876
nid003389,3,0.271881
nid003396,1,0.270662
nid003396,3,0.270231
nid003381,3,0.271096
nid001449,0,0.277132
nid003385,1,0.273721
nid003393,2,0.270978
nid003388,1,0.272042
nid001449,1,0.273684
nid003388,3,0.272806
nid003384,3,0.27016
nid003381,0,0.27204
nid003408,3,0.272046
nid003389,2,0.2758
nid003389,1,0.273445
nid003396,0,0.273757
nid003389,0,0.273782
